,business_id,postal_code,categories,name,neighborhood,review_count,state,address,city,stars
0,--9e1ONYQuAa-CB_Rrw7Tw,89109,"[u'Cajun/Creole', u'Steakhouses', u'Restaurants']",Delmonico Steakhouse,The Strip,1451,NV,3355 Las Vegas Blvd S,Las Vegas,4.0
1,-050d_XIor1NpCuWkbIVaQ,85004,"[u'Breakfast & Brunch', u'Restaurants']",Matt's Big Breakfast,,700,AZ,801 N 1st St,Phoenix,4.0
2,-1UMR00eXtwaeh59pEiDjA,85034,"[u'Food', u'Breakfast & Brunch', u'Sandwiches', u'Bars', u'Cocktail Bars', u'Nightlife', u'Restaurants']",Matt's Big Breakfast,,325,AZ,"3800 E Sky Harbor Blvd, Terminal 4, Gate B5",Phoenix,3.5
3,-3zffZUHoY8bQjGfPSoBKQ,89109,"[u'Seafood', u'Bars', u'Nightlife', u'American (New)', u'Restaurants']",Michael Mina,The Strip,590,NV,3600 S Las Vegas Blvd,Las Vegas,4.0
4,-6h3K1hj0d4DRcZNUtHDuw,85254,"[u'Event Planning & Services', u'Breakfast & Brunch', u'Italian', u'Nightlife', u'Pizza', u'Cocktail Bars', u'Venues & Event Spaces', u'Wine Bars', u'Seafood', u'Bars', u'Restaurants']",Brio Tuscan Grille,,449,AZ,15301 N Scottsdale Rd,Scottsdale,3.5
5,-8O8sVCnaIKHP-596zN9UA,44087,"[u'Restaurants', u'American (Traditional)', u'American (New)']",Blue Canyon Kitchen & Tavern,,159,OH,8960 Wilcox Dr,Twinsburg,3.5
6,-8QlV3b_9H4BAh6LgMIr1g,85282,"[u'Indian', u'Buffets', u'Vegan', u'Restaurants']",Nandini Indian Cuisine,,436,AZ,"1845 E Broadway Rd, Ste 101",Tempe,4.0
7,-8iwcXhLnyqbLgvcrJGgaw,28078,"[u'Salad', u'Seafood', u'Restaurants', u'Diners', u'Bars', u'Steakhouses', u'Nightlife', u'Soup', u'American (Traditional)', u'Cafes']",Red Rocks Cafe,,158,NC,8712 Lindholm Dr,Huntersville,4.0
8,-95mbLJsa0CxXhpaNL4LvA,89139,"[u'Ice Cream & Frozen Yogurt', u'Coffee & Tea', u'Food', u'Juice Bars & Smoothies', u'Bubble Tea', u'Desserts', u'Food Delivery Services']",The Perfect Scoop & Boba Tea,Southwest,609,NV,"7377 S Jones Blvd, Ste 115",Las Vegas,3.5
9,-9nai28tnoylwViuJVrYEQ,85251,"[u'Spanish', u'Restaurants', u'Nightlife', u'Bars', u'Tapas/Small Plates']",Tapas Papa Frita,,412,AZ,"7114 E Stetson Dr, Ste 210",Scottsdale,3.5
10,-AD5PiuJHgdUcAK-Vxao2A,89119,"[u'Restaurants', u'Burgers']",Smashburger,University,274,NV,4725 S Maryland Pkwy,Las Vegas,3.5
11,-BbnAc9YEO6pjvJGEtFbVQ,M4Y 2A6,"[u'Noodles', u'Ramen', u'Restaurants', u'Japanese']",Sansotei,Downtown Core,205,ON,650 Yonge Street,Toronto,4.0
12,-Bdw-5H5C4AYSMGnAvmnzw,85006,"[u'Nightlife', u'Food', u'Breakfast & Brunch', u'Bars', u'Cocktail Bars', u'American (New)', u'Tea Rooms', u'Restaurants']",Tuck Shop,,531,AZ,2245 N 12th St,Phoenix,4.5
13,-Bf8BQ3yMk8U2f45r2DRKw,89128,"[u'Restaurants', u'Fast Food', u'Burgers']",In-N-Out Burger,,160,NV,1960 Rock Springs Dr,Las Vegas,4.0
14,-CFKgOGpYPIt8NnqidaZCw,89015,"[u'Restaurants', u'Patisserie/Cake Shop', u'Food', u'Custom Cakes', u'Bakeries']",Chef Flemming's BakeShop,,165,NV,"7 S Water St, Ste B",Henderson,4.5
15,-Dnh48f029YNugtMKkkI-Q,85301,"[u'Italian', u'Restaurants', u'Pizza']",La Piazza al Forno,,457,AZ,5803 W Glendale Ave,Glendale,4.0
16,-F5mm0-YeCI7viSiOwVAAw,85258,"[u'Coffee & Tea', u'Breakfast & Brunch', u'Bagels', u'Sandwiches', u'Restaurants', u'Food']","Lox, Stock & Bagel",,245,AZ,7353 N Via Paseo Del Sur,Scottsdale,4.0
17,-FLnsWAa4AGEW4NgE8Fqew,85251,"[u'American (Traditional)', u'Coffee & Tea', u'Restaurants', u'Breakfast & Brunch', u'Food', u'Turkish']",Breakfast Club- Scottsdale,,878,AZ,4400 N Scottsdale Rd,Scottsdale,4.0
18,-IWsoxH7mLJTTpU5MmWY4w,89102,"[u'Vietnamese', u'Restaurants', u'Noodles']",Pho Kinh Do,Chinatown,742,NV,"4300 Spring Mountain Rd, Ste 101",Las Vegas,4.0
19,-IZvuqxekWEvJqDw308daQ,85282,"[u'Sandwiches', u'Restaurants', u'Tacos', u'Mexican', u'Salad', u'Breakfast & Brunch']",Los Favoritos Tacos Shop,,174,AZ,"1340 E Broadway Rd, Ste 105",Tempe,3.5
20,-Ipm_8YXj9UoNNHagCvsNg,M2J 4A8,"[u'Japanese', u'Restaurants', u'Sushi Bars']",Aoyama Sushi Restaurant,,162,ON,2766 Victoria Park Avenue,Toronto,4.0
21,-J6FVdY9pSgAdFmmalO-pQ,M1R 1R4,"[u'Thai', u'Restaurants', u'Food', u'Food Delivery Services']",Jatujak,,191,ON,1744 Victoria Park Avenue,Toronto,4.0
22,-JwSuDqyFILFJmVpjrVbwA,85022,"[u'Burgers', u'Nightlife', u'Sandwiches', u'Restaurants', u'Bars', u'American (New)', u'Sports Bars']",Half Moon Sports Grill,,241,AZ,"288 E Greenway Pkwy, Ste 103",Phoenix,3.5
23,-KIdCJnkt5N8rnnmWR5MQg,85016,"[u'Pizza', u'Chicken Wings', u'Restaurants', u'Cheesesteaks']",Corleone's,,190,AZ,"1640 E Camelback Rd, Ste 140",Phoenix,3.5
24,-LzUYsR54hd8cCiYXTquRA,89103,"[u'Restaurants', u'Buffets']",Medley Buffet,,360,NV,4500 W Tropicana Ave,Las Vegas,3.0
25,-MKWJZnMjSit406AUKf7Pg,85224,"[u'American (New)', u'Restaurants']",Barrelhouse American Kitchen & Cocktails,,172,AZ,"2050 N Alma School Rd, Ste 8",Chandler,4.0
26,-Ma5JqzuI_3xIAtpNJfQ2g,85053,"[u'Restaurants', u'Thai']",Krachai Thai Kitchen,,170,AZ,3361 W Greenway Rd,Phoenix,4.0
27,-MuatiMmslPOvk9kOMyjkA,85255,"[u'American (Traditional)', u'Steakhouses', u'Restaurants', u'American (New)']",Charleston's,,238,AZ,17001 N. Scottsdale Rd.,Scottsdale,4.0
