,Unnamed: 0,attributes.Ambience.divey,attributes.RestaurantsDelivery,attributes.DogsAllowed,postal_code,hours.Thursday,attributes.HairSpecializesIn.coloring,attributes.BestNights.sunday,attributes.BYOB,attributes.AgesAllowed,hours.Friday,latitude,attributes.Alcohol,attributes.Ambience.classy,attributes.RestaurantsTableService,business_id,attributes.Ambience.touristy,attributes.RestaurantsCounterService,attributes.Corkage,attributes.RestaurantsGoodForGroups,categories,name,attributes.BusinessAcceptsBitcoin,attributes.HappyHour,attributes.WheelchairAccessible,attributes.Ambience.hipster,attributes.BusinessAcceptsCreditCards,is_open,attributes.Music.video,attributes.Music.live,attributes.Music.background_music,neighborhood,attributes.BusinessParking.lot,attributes.Music.karaoke,review_count,attributes.ByAppointmentOnly,attributes.NoiseLevel,attributes.HairSpecializesIn.perms,state,attributes.DriveThru,attributes.HasTV,attributes.GoodForMeal.dinner,attributes.BusinessParking.street,address,attributes.RestaurantsAttire,hours.Sunday,attributes.BestNights.tuesday,attributes.DietaryRestrictions.vegetarian,attributes.AcceptsInsurance,attributes.BestNights.wednesday,hours.Wednesday,attributes.HairSpecializesIn.kids,attributes.Open24Hours,attributes.Ambience.trendy,attributes.CoatCheck,hours.Monday,attributes.HairSpecializesIn.straightperms,city,attributes.HairSpecializesIn.curly,attributes.Music.no_music,hours.Tuesday,attributes.HairSpecializesIn.africanamerican,stars,attributes.RestaurantsPriceRange2,attributes.Ambience.intimate,attributes.GoodForMeal.latenight,attributes.GoodForMeal.dessert,attributes.BusinessParking.validated,attributes.GoodForMeal.lunch,attributes.GoodForKids,attributes.DietaryRestrictions.soy-free,attributes.GoodForMeal.brunch,attributes.BusinessParking.valet,longitude,attributes.DietaryRestrictions.gluten-free,attributes.BYOBCorkage,attributes.BusinessParking.garage,attributes.BestNights.friday,hours.Saturday,attributes.Music.dj,attributes.HairSpecializesIn.extensions,attributes.BestNights.saturday,attributes.Ambience.casual,attributes.BestNights.thursday,attributes.BestNights.monday,attributes.HairSpecializesIn.asian,attributes.DietaryRestrictions.kosher,attributes.WiFi,attributes.Smoking,attributes.DietaryRestrictions.halal,attributes.GoodForDancing,attributes.GoodForMeal.breakfast,attributes.Caters,attributes.RestaurantsReservations,attributes.DietaryRestrictions.dairy-free,attributes.DietaryRestrictions.vegan,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale,attributes.RestaurantsTakeOut,attributes.BikeParking,attributes.OutdoorSeating
0,22,False,True,,85022,11:00-22:00,,,,,11:00-23:00,33.60731,full_bar,False,True,1WBkAuQg81kokZIPMpn9Zg,False,,,True,"[u'Burgers', u'Restaurants']",Charr An American Burger Bar,,,,False,True,1,,,,,True,,232,,average,,AZ,False,True,True,False,"777 E Thunderbird Rd, Ste 107",casual,11:00-21:00,,,,,11:00-22:00,,,False,,11:00-22:00,,Phoenix,,,11:00-22:00,,3.0,2.0,False,False,False,False,False,True,,False,False,-112.063404,,,False,,11:00-23:00,,,,True,,,,,free,,,,False,True,False,,,False,,False,True,True,True
1,26,True,False,,89119,11:00-0:00,,,,,11:00-1:00,36.0682585154,full_bar,False,True,n7V4cD-KqqE3OXk0irJTyA,False,,,True,"[u'Arcades', u'Arts & Entertainment', u'Gastropubs', u'Restaurants', u'American (New)']",GameWorks,,,,False,True,1,,,,Southeast,True,,349,,very_loud,,NV,,True,False,False,"6587 Las Vegas Blvd S, Ste 171",casual,11:00-0:00,,,,,11:00-0:00,,,False,,11:00-0:00,,Las Vegas,,,11:00-0:00,,3.0,2.0,False,True,False,False,False,True,,True,False,-115.1788768,,,True,,11:00-1:00,,,,False,,,,,free,,,,False,True,False,,,False,,False,True,True,False
2,46,False,True,True,85258,17:00-22:00,,,False,,17:00-22:00,33.5552118623,full_bar,False,True,VdlPZg2NAu8t8GkdbPLecg,False,,True,True,"[u'Restaurants', u'Gluten-Free', u'Indian', u'Seafood']",Tandoori Times Indian Bistro,,,True,False,True,1,,,,,True,,263,,average,,AZ,,True,True,False,"8140 N Hayden Rd, Ste H115",casual,17:00-22:00,,True,,,17:00-22:00,,False,False,,,,Scottsdale,,,17:00-22:00,,3.5,2.0,False,False,False,False,False,True,True,False,False,-111.900456296,True,no,False,,17:00-22:00,,,,True,,,,False,free,,True,,False,True,True,True,True,False,,False,True,True,True
3,59,False,False,,28203,6:00-19:00,,,,,6:00-19:00,35.2026242,none,False,False,5q6Xh-UcJa78bp6dzyaE7w,False,,,True,"[u'Breakfast & Brunch', u'Food', u'Coffee & Tea', u'Donuts', u'Restaurants']",Duck Donuts,,,,False,True,1,,,,Dilworth,True,,373,,average,,NC,,False,False,False,"1710 Kenilworth Ave, Ste 220",casual,6:00-15:00,,,,,6:00-19:00,,,False,,6:00-15:00,,Charlotte,,,6:00-15:00,,4.5,1.0,False,False,True,False,False,True,,False,False,-80.8444191,,,False,,6:00-19:00,,,,True,,,,,free,,,,True,False,False,,,False,,False,True,True,True
4,90,,False,,44114,9:00-20:00,,,,,9:00-20:00,41.5094078,,,,1cLXGXThDYZ5WK_KpBLtkw,,,,,"[u'Bakeries', u'Coffee & Tea', u'Bubble Tea', u'Food']",Koko Bakery,,,True,,True,1,,,,Goodrich Kirtland,True,,167,,,,OH,,,,False,3710 Payne Ave,,9:00-20:00,,,,,9:00-20:00,,,,,9:00-20:00,,Cleveland,,,,,4.0,1.0,,,,False,,,,,False,-81.6621618,,,False,,9:00-20:00,,,,,,,,,free,,,,,True,,,,,,,True,True,False
5,94,False,,,85281,20:00-2:00,,False,,,19:00-2:00,33.4252659831,full_bar,False,,DVaTciFGcCXLHTufHZM4_A,False,,,True,"[u'Music Venues', u'Lounges', u'Dive Bars', u'Bars', u'Nightlife', u'Piano Bars', u'Arts & Entertainment']",Big Bang - Dueling Piano Bar,,True,True,False,True,0,False,True,False,,False,False,161,,very_loud,,AZ,,False,,True,"501 S Mill Ave, Ste B-101",,,False,,,False,20:00-2:00,,,False,False,,,Tempe,,False,,,4.0,2.0,False,,,False,,False,,,False,-111.939773558,,,True,True,19:00-2:00,False,,True,True,True,False,,,,outdoor,,True,,,,,,False,False,False,,True,False
6,103,,False,,M5T 1G6,9:00-22:00,,,,,9:00-22:00,43.653324,beer_and_wine,False,True,Rh2smrKvcamnP8VBUgMI0Q,False,,,True,"[u'Chinese', u'Restaurants', u'Dim Sum']",Dim Sum King Seafood Restaurant,,,,False,True,1,,,,Chinatown,False,,165,,average,,ON,,True,False,True,"421 Dundas St W, 3rd Fl",casual,9:00-22:00,,,,,9:00-22:00,,,False,,9:00-22:00,,Toronto,,,9:00-22:00,,3.5,2.0,False,False,False,False,True,True,,True,False,-79.395372,,,False,,9:00-22:00,,,,True,,,,,free,,,,False,True,True,,,False,,False,True,True,False
7,105,,False,False,M5R 1V4,12:00-23:00,,False,,,12:00-23:00,43.675957769300005,full_bar,False,True,O_UC_izJXcAmkm6HlEyGSA,False,,,True,"[u'Mexican', u'Restaurants', u'Nightlife', u'Bars']",Playa Cabana,,False,False,False,True,1,False,False,True,The Annex,False,False,363,,loud,,ON,,False,True,True,111 Dupont Street,casual,12:00-23:00,False,,,False,12:00-23:00,,,False,False,12:00-23:00,,Toronto,,False,12:00-23:00,,4.0,2.0,False,False,False,False,False,False,,False,False,-79.4011840224,,,False,True,12:00-23:00,False,,True,True,True,False,,,no,no,,False,False,True,True,,,False,False,False,True,True,True
8,108,False,False,False,85212,11:00-21:00,,,,,11:00-21:00,33.3210685814,beer_and_wine,False,True,6PwKC0dqP9uI85FEP86iPQ,False,,,True,"[u'Sushi Bars', u'Restaurants', u'Japanese', u'Asian Fusion', u'Vietnamese']",Red Viet Cuisine - Sushi,,,True,False,True,0,,,,,True,,164,,quiet,,AZ,,True,True,False,"5221 S Power Rd, Ste 104",casual,11:00-21:00,,,,,11:00-21:00,,,False,,11:00-21:00,,MESA,,,11:00-21:00,,3.5,2.0,False,False,False,False,True,True,,False,False,-111.68517183200001,,,False,,11:00-21:00,,,,True,,,,,free,,,,False,False,True,,,False,,False,True,True,False
9,112,,False,,M6H 1B6,10:00-21:00,,,,,10:00-22:00,43.652368,none,False,True,ww_MXl-qDLeYdYTZZ9KWbA,False,,,True,"[u'Vietnamese', u'Restaurants']",Pho Linh,,,False,False,False,1,,,,Brockton Village,False,,162,,average,,ON,,False,True,True,1156 College Street W,casual,10:00-21:00,,,,,10:00-21:00,,,False,,10:00-21:00,,Toronto,,,10:00-21:00,,4.0,1.0,False,False,False,False,True,True,,False,False,-79.4340771,,,False,,10:00-22:00,,,,True,,,,,no,,,,False,False,False,,,False,,False,True,True,False
